Gene.Name,Cdc42,Pla2g6,Akt2,Plcg2,Mapk1,Rac2,Rik,Mapkapk2,Pik3cd,Pla2g5,Sphk2,Map2k1,Pik3r3,Ptk2,Nras,Nos3,Pik3r1,Pik3ca,Ppp3cb,Map2k2,Nfatc4,Mapk13,Rac1,Nfat5
Expression.20,-0.102989825,0.2994015,-0.6257726,0.66506912,0.266595555,-1.6117005,1.35971085,-1.2094058,0.6028047,0.36158657,0.76860512,0.12318714,0.96640882,-0.24850048,-0.3973552,-1.5590092,-1.44739745,0.056624628,-0.769606097,-0.09542689,1.22903311,1.46915697,-0.5484996,1.614094215
Expression.21,-0.28504199,-0.0730968,-0.7484548,0.41569157,0.03086279,-1.5628627,1.31993848,-1.1807635,0.63563654,0.17786794,0.57146355,-0.09837647,0.676049685,-0.316779683,-0.42766675,-1.904786,-0.88878585,0.188253618,-0.879502123,-0.247065785,1.5268935,1.11950573,-0.6911216,1.33776
Expression.22,0.047603275,0.56175135,-0.58165625,0.56049438,0.379112685,-1.7467588,1.65491752,-0.6090603,0.18431836,-0.1459381,0.74737737,0.232525425,1.05780748,-0.309338025,-0.17748535,-2.0718778,-0.85689865,0.189305203,-0.820607507,0.19108412,1.39764264,1.15126795,-0.2332503,1.713330345
Expression.23,-0.087736815,0.20904863,-0.4004353,0.6870611,0.27536527,-1.5356282,1.47681431,-1.3034961,0.68819484,0.02632538,0.67386575,0.05478588,1.07782847,-0.263027993,-0.267785645,-1.9337328,-0.91547915,0.239047668,-0.779505647,-0.119637345,1.48741417,1.05948717,-0.3375698,1.817328175
Expression.24,-0.254056815,0.00135539,-0.5167899,0.23956099,0.00215492,-1.1779118,1.30121998,-0.9069256,0.70025724,0.22132421,0.43354989,-0.07634539,0.80074662,-0.326393998,-0.251312185,-1.242531,-1.1751789,0.040190155,-0.6077798,-0.21794446,1.49140814,1.75214245,-0.5611925,1.426294415
Expression.25,-0.05894527,0.99922714,-0.5203194,0.72137212,0.118101455,-1.2956381,1.37650079,-1.0606673,0.40032198,0.00083662,0.5121285,0.09712685,0.905786645,-0.208073323,-0.3286463,-2.0825024,-0.69260085,0.125277098,-0.984161273,-0.09365418,1.47236419,0.73166938,-0.1922288,1.324955775
Expression.26,-0.01501917,0.32027247,-0.6123537,0.77345676,0.249473615,-1.4936688,1.56248005,-1.2327324,0.24067319,0.10741647,0.82575683,0.059609995,1.002299855,-0.189788898,-0.362971355,-2.1325936,-0.8399709,0.139727278,-0.89670019,-0.003681175,1.51623791,1.06790322,-0.1901969,1.88693909
Expression.27,-0.093126255,0.363479,-0.4838216,0.67895717,0.07514697,-1.5595713,1.35620474,-1.0662819,0.66932103,0.55919906,1.04363397,0.016447435,0.725889175,-0.29405655,-0.13113126,-1.9659341,-1.0333173,0.103567148,-0.971122773,0.154885235,1.56766692,0.89884672,-0.4111841,1.63443022
Expression.28,0.01159986,0.20909275,-0.7311365,0.69570754,0.265202185,-1.3720288,1.37128912,-1.2670682,0.32004676,0.27289985,0.88801316,0.14587152,0.904747845,-0.263531113,-0.402890185,-1.7720912,-1.0349923,0.069652268,-0.766565853,-0.22955441,1.41552238,0.33808741,-0.3743661,1.72834421
Expression.29,0.016950135,0.28864493,-0.6387734,0.77046332,0.322509825,-1.3977654,1.40720613,-1.1817289,0.294957,0.22316082,1.4168764,0.06403263,0.992952865,-0.220974738,-0.283052325,-1.9943774,-1.059641,0.071969685,-0.884504313,-0.223267385,1.54601667,0.65803962,-0.0277292,1.694951055
Expression.30,-0.106400175,0.11711591,-0.57337285,0.77496131,0.156829865,-1.3208623,1.58519336,-0.9592109,0.63499957,-0.1257423,0.80723006,0.116485575,1.04522453,-0.324109175,-0.249307745,-1.7265943,-1.15112455,-0.002242175,-0.690807823,-0.22099345,1.48768795,1.32455447,-0.6094046,1.720190575
Expression.31,0.08052385,0.18801189,-0.48958305,0.62368929,-0.0714396,-1.1808003,1.22816271,-1.0940751,0.63551756,0.22166278,0.75432945,0.066012735,0.783402775,-0.24369675,-0.24751536,-2.1342097,-1.07642425,0.118086085,-0.919890747,-0.06275086,1.57690089,0.72894035,-0.5308828,1.52060082
Expression.32,-0.14571576,0.12094645,-0.59273025,0.52779596,0.08442705,-1.5620163,1.17934369,-1.030954,0.72856044,0.27062418,0.53607241,-0.0173171,0.74569409,-0.34179285,-0.345533185,-1.7709969,-1.02452935,0.066326608,-0.907242737,-0.159685605,1.49762695,1.53311353,-0.6816859,1.656560445
Expression.33,-0.013407435,0.38105088,-0.43920785,0.75579448,0.209425235,-1.3631769,1.46710595,-1.1417678,0.77271283,0.08041741,0.82163812,-0.16065479,0.63674283,-0.255069825,-0.2846779,-1.7784725,-1.18627735,0.018229088,-0.75689746,0.04962801,1.306852,1.67890718,-0.1209269,1.587724
Expression.34,-0.03110142,0.30692678,-0.46258365,0.79682681,0.256522445,-1.1612127,1.49195876,-0.9460818,0.488704,0.33976195,0.87789542,0.11665137,0.85179807,-0.140498165,-0.24288709,-1.9871981,-1.05765575,0.198928918,-0.929244557,-0.084711585,1.57916984,0.63112978,-0.3614816,1.676343125
Expression.35,0.001196155,0.17912734,-0.63382365,0.74298856,0.317714875,-1.5717303,1.47159039,-1.0542078,0.61466102,-0.0016959,0.68145468,-0.01433336,0.932661775,-0.33157165,-0.14881191,-1.7557226,-1.06602575,0.12618474,-0.827403197,-0.016659415,1.5951527,1.3872589,-0.5001802,1.511858845
Expression.36,-0.07581851,0.16540589,-0.47507825,0.68993951,-0.012163045,-1.3342843,1.15517091,-0.9628626,0.72334316,0.02914201,0.78221031,-0.182592115,0.607952295,-0.3429592,-0.114190025,-1.8075961,-1.0396424,0.170292758,-0.918817137,-0.131294665,1.39921432,0.79911289,-0.7648221,1.47909886
Expression.37,-0.13625396,0.0504106,-0.62056505,0.54132296,0.01812223,-1.4629157,1.04509516,-0.8342059,0.81043066,0.21920148,0.88414211,-0.16845418,0.739199255,-0.4313663,-0.34390028,-1.3028495,-1.02374155,0.092014688,-0.895891733,-0.3368789,1.4774221,1.57255717,-0.6125426,1.4813859
Expression.38,-0.00732546,-0.1961523,-0.55388395,0.65286488,0.148512555,-1.5245909,1.75125315,-1.3225172,0.58032996,0.37972469,0.77908077,0.221230425,1.07574441,-0.431587753,-0.370486085,-2.0818093,-0.9174114,0.239291398,-0.74839583,0.015809805,1.4663949,0.88885258,-0.5427014,1.782712165
